,tokens,ner_tags
11,"['Filesystem', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'Size', '', 'Used', 'Avail', 'Use%', 'Mounted', 'on']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
12,"['Технология', 'и', 'техника', 'разведки', 'месторождений', 'полезных', 'ископаемых']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
13,"['hp', 'sm:', 'Service', 'Manager']","['O', 'O', 'O', 'O']"
14,"['Организация', 'и', 'управление', 'наукоемкими', 'производствами']","['O', 'O', 'O', 'O', 'O']"
15,"['льготные', 'условия', 'кредитования;']","['O', 'O', 'O']"
16,"['learn_d+', '2067193', '2779303', '', '0', 'Mar27', '?', '', '', '', '', '', '', '', '00:00:15', '/swml/envs/sla_inc/env_python3.9/bin/python', '-m', 'ipykernel_launcher', '-f', '/home/learn_dev/.local/share/jup']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
17,"['Авиационная', 'и', 'ракетно-космическая', 'теплотехника']","['O', 'O', 'O', 'O']"
18,"['сонар:', 'SonarQube']","['O', 'O']"
19,['orion'],['O']
20,['1.3289642200983877e+17'],['O']
21,"['АО', '«Сбербанк', 'России»\n', 'ул.', 'Ленина', ',', 'д.', '10,', 'г.', 'Москва,', 'Россия,', '119991\n']","['O', 'O', 'U-COUNTRY', 'O', 'U-STREET', 'O', 'B-HOUSE', 'L-HOUSE', 'O', 'U-CITY', 'U-COUNTRY', 'O']"
22,"['м17:', 'M17']","['O', 'O']"
23,['Дерматовенерология'],['O']
24,"['GROUP', 'BY', ""('столбец,"", 'по', 'которому', 'хотим', 'сгруппировать', 'данные;', ""необязательно')""]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
25,"['any', 'connect:', 'VPN']","['O', 'O', 'O']"
26,"['Сельское,', 'лесное', 'и', 'рыбное', 'хозяйство']","['O', 'O', 'O', 'O', 'O']"
27,"['Норматив', 'потребления']","['O', 'O']"
28,"['Расчет', 'ЕНВД.', 'Продукт', '""Понимаю', 'упрощенку""']","['O', 'O', 'O', 'O', 'O']"
29,"['jabber:', 'Jabber']","['O', 'O']"
30,['https://drive.google.com/file/d/0B5E1q6MJ09ywc3N5ZTYyZUpJZU0/view?usp='],['O']
31,"['zoom:', 'Zoom']","['O', 'O']"
32,"['M.', 'PISAREVA', '@MAIL.RU']","['O', 'U-LAST_NAME', 'O']"
33,"['сбервизор:', 'СберВизор']","['O', 'O']"
34,"['Постановление', 'Администрации', 'города', 'Омска', 'от', '25.11.09', '№', '919-п']","['O', 'O', 'O', 'U-CITY', 'O', 'O', 'O', 'O']"
35,"['ИвАН', 'хОЧЕт', 'купИть', 'нОВЫЙ', 'автоМоБИЛЬ', 'марки', 'ТОЙотА']","['U-FIRST_NAME', 'O', 'O', 'O', 'O', 'O', 'O']"
36,"['ДОМОДЕДОВСКАЯ', 'ГОРОДСКАЯ', 'БОЛЬНИЦА']","['U-DISTRICT', 'O', 'O']"
37,"['Лечебная', 'физкультура', 'и', 'спортивная', 'медицина']","['O', 'O', 'O', 'O', 'O']"
38,"['Мастерство', 'декоративно-прикладного', 'искусства', 'и', 'народных', 'промыслов']","['O', 'O', 'O', 'O', 'O', 'O']"
39,['PL'],['O']
40,"['Художественное', 'образование']","['O', 'O']"
41,"['На', 'улице', 'Красной', 'площади', ',', 'Москва', ',', 'Россия']","['O', 'O', 'B-STREET', 'L-STREET', 'O', 'U-CITY', 'O', 'U-COUNTRY']"
42,"['интелиджи:', 'Intellege', 'Idea']","['O', 'O', 'O']"
43,"['С', '2012', 'года', 'член', 'совета', 'директоров', 'музея', 'Бейт', 'Лохамей', 'ха-геттаот', '(', 'Музея', 'еврейского', 'сопротивления', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
44,"['Саид', ',', 'Махмуд']","['U-LAST_NAME', 'O', 'U-FIRST_NAME']"
45,['1.3285910591824456e+17'],['O']
46,"['sberacceleration:', 'SberAcceleration']","['O', 'O']"
47,"['Подчинён', 'административному', 'округу', 'Кассель', '.']","['O', 'O', 'O', 'U-CITY', 'O']"
48,['Итера'],['O']
49,"['""', 'Сегодня', 'проблемы', 'Петропавловска', 'не', 'только', 'не', 'решаются', ',', 'но', 'и', 'усугубляются', '""', ',', '-', 'цитирует', 'пресс', '-', 'служба', 'законодательного', 'собрания', 'Камчатского', 'края', 'губернатора', 'Алексея', 'Кузьмицкого', '.']","['O', 'O', 'O', 'U-CITY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-REGION', 'O', 'O', 'U-FIRST_NAME', 'U-LAST_NAME', 'O']"
50,['211.155.218.140'],['O']
51,"['ПРОДУКТ', '«ХЛЕБ»', 'ВЕС', '1', 'КИЛОГРАММ', 'ЦЕНА', '50', 'РУБЛЕЙ', 'СТРАНА', 'ПРОИЗВОДСТВА', 'КАЗАХСТАН']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-COUNTRY']"
52,['Диетология'],['O']
53,"['Петрова', 'Елена', 'Сергеевна,', 'мужской,', 'учитель,', 'г.', 'Казань.']","['U-LAST_NAME', 'U-FIRST_NAME', 'U-MIDDLE_NAME', 'O', 'O', 'O', 'U-CITY']"
54,"['Дату', 'проведения', 'голосования', 'определит', 'и', '.', 'о', '.', 'президента', 'Косово', 'Якуп', 'Красничи', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-COUNTRY', 'U-FIRST_NAME', 'U-LAST_NAME', 'O']"
55,"['The', 'speed', 'limit', 'is', 'indicated', 'in', 'miles', 'per', 'hour.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
56,"['аутсорсер:', 'Outsourcing']","['O', 'O']"
57,"['Он', 'обвинён', 'также', 'в', 'захвате', 'сотрудников', 'ООН', 'сотрудников', 'ООН', 'в', '1995', 'году']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
58,"['абстракте:', 'Abstract']","['O', 'O']"
59,"['Также', 'принято', 'решение', 'освободить', 'от', 'должности', 'заместителя', 'руководителя', 'Департамента', 'науки', ',', 'промышленной', 'политики', 'и', 'предпринимательства', 'г', '.', 'Москвы', 'Михаила', 'Герасимова', '""', 'по', 'собственной', 'инициативе', '""', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-CITY', 'U-FIRST_NAME', 'U-LAST_NAME', 'O', 'O', 'O', 'O', 'O', 'O']"
60,"['Также', 'поклонниками', 'шоу', 'являются', 'Дуэйн', 'Джонсон', ',', 'Рианна', 'и', 'Бритни', 'Спирс', '.']","['O', 'O', 'O', 'O', 'U-FIRST_NAME', 'U-LAST_NAME', 'O', 'U-FIRST_NAME', 'O', 'U-FIRST_NAME', 'U-LAST_NAME', 'O']"
61,['79086131098'],['O']
62,"['Техническое', 'обслуживание', 'газодинамических', 'импульсных', 'устройств']","['O', 'O', 'O', 'O', 'O']"
63,"['производство', 'труб']","['O', 'O']"
64,"['Обработка', 'водных', 'биоресурсов']","['O', 'O', 'O']"
65,"['back', 'office']","['O', 'O']"
66,['77752618884'],['O']
67,"['Тем', 'временем', 'ожидалось', ',', 'что', 'кресло', 'в', 'совете', 'отправленного', 'в', 'отставку', 'А', '.', 'Сердюкова', 'займет', 'новый', 'глава', 'оборонного', 'ведомства', 'Сергей', 'Шойгу', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-LAST_NAME', 'O', 'O', 'O', 'O', 'O', 'U-FIRST_NAME', 'U-LAST_NAME', 'O']"
68,['ksana328@mail.ru'],['O']
69,"['Доп.офис', '№8259/1215']","['O', 'O']"
70,['79321240343'],['O']
71,['DK'],['O']
72,['95.240.111.241'],['O']
73,"['Технология', 'ткачества']","['O', 'O']"
74,"['dasha', '.', 'seredyuk']","['U-FIRST_NAME', 'O', 'U-LAST_NAME']"
75,['PM'],['O']
76,"['Приказ', 'РЭК', 'от', '5.11.09', '№', '222/63']","['O', 'O', 'O', 'O', 'O', 'O']"
77,['Энергомашиностроение'],['O']
78,['icqm5UgZ60f5eb6708930ecba7d752d54328fea1'],['O']
79,"['Эксплуатация', 'оборудования', 'радиосвязи', 'и', 'электрорадионавигации', 'судов']","['O', 'O', 'O', 'O', 'O', 'O']"
80,"['Механик', 'маломерного', 'судна']","['O', 'O', 'O']"
81,"['Адаптации', 'ребенка-инвалида;']","['O', 'O']"
82,"['Наземные', 'транспортно-технологические', 'средства']","['O', 'O', 'O']"
83,"['Специальные', 'организационно-технические', 'системы']","['O', 'O', 'O']"
84,"['zabbix', '', '', '3680829', '3680820', '', '0', 'Mar23', '?', '', '', '', '', '', '', '', '00:05:09', '/usr/sbin/zabbix_agentd:', 'active', 'checks', '#1', '[idle', '1', 'sec]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
85,['tQNlQNMAbf7ab376f9c0a28efe23c6077274b2f6'],['O']
86,['Русагро'],['O']
87,"['арм:', 'ARM']","['O', 'O']"
88,"['learn_d+', '3825889', '3803532', '', '0', 'Mar28', '?', '', '', '', '', '', '', '', '00:00:05', '/home/learn_dev/.vscode-server/bin/d6ee99e4c045a6716e5c653d7da8e9ae6f5a8b03/node', '/home/learn_dev/.vsc']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
89,"['""ИТ-доработка', 'не', 'требуется"",""ИТ-доработка', 'требуется""']","['O', 'O', 'O', 'O']"
90,"['learn_d+', '3288547', '', '', '', '', '', '', '1', '', '0', 'Mar22', '?', '', '', '', '', '', '', '', '00:00:00', 'SCREEN']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
91,"['Ritzio', 'Entertainment', 'Group']","['O', 'O', 'O']"
92,"['Открытая', 'разработка', 'месторождений', 'полезных', 'ископаемых']","['O', 'O', 'O', 'O', 'O']"
93,['Дирижирование'],['O']
94,"['Германия', '—', '4', 'место', '.']","['U-COUNTRY', 'O', 'O', 'O', 'O']"
95,['IBS'],['O']
96,['Томск'],['U-CITY']
97,"['Технология', 'разделения', 'изотопов']","['O', 'O', 'O']"
98,"['добыча', 'угля']","['O', 'O']"
99,['Вестер'],['O']
100,"['Электрик', 'судовой']","['O', 'O']"
101,"['systemd[1]:', 'Started', 'Session', 'c113006', 'of', 'user', 'root.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
102,"['Как', 'подчеркивают', 'наблюдатели', ',', 'К', '.', 'Лагард', 'возглавила', 'МВФ', 'в', 'тот', 'момент', ',', 'когда', 'фонд', 'активно', 'участвует', 'в', 'решении', 'долговых', 'проблем', 'Греции', 'и', 'еврозоны', 'в', 'целом', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'U-LAST_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-COUNTRY', 'O', 'O', 'O', 'O', 'O']"
103,"['release', 'notes:', 'Release', 'Notes']","['O', 'O', 'O', 'O']"
104,"['REGID[59226582]', 'ОШИБКА', 'РЕГИСТРАЦИИ:', 'Проверка', 'в', 'WAY', 'НЕ', 'УСПЕШНА:', 'определена', 'ошибка:ORACLE', 'ERROR:', '-4061.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
105,"['Оплата', 'через', 'онлайн-кассы', 'налога', 'на', 'прибыль', 'организации:', 'до', '50', 'млн.', 'рублей.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
106,"['О', 'средствах', 'массовой', 'информации']","['O', 'O', 'O', 'O']"
107,['Тюмень'],['U-CITY']
108,"['Оператор', 'нефтяных', 'и', 'газовых', 'скважин']","['O', 'O', 'O', 'O', 'O']"
109,['https://www.oao.biz/app/categories/search/register/'],['O']
110,"['Дубай,', 'Объединенные', 'Арабские', 'Эмираты', '(', 'Dubai', ')']","['U-CITY', 'B-COUNTRY', 'I-COUNTRY', 'L-COUNTRY', 'O', 'U-CITY', 'O']"
111,"['dataspace:', 'DataSpace']","['O', 'O']"
112,"['tmpfs', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '3.2G', '', '', '', '', '0', '', '3.2G', '', '', '0%', '/run/user/20003']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
113,"['КЛИНСКАЯ', 'ГОРОДСКАЯ', 'БОЛЬНИЦА']","['U-DISTRICT', 'O', 'O']"
114,['Фотограф'],['O']
115,['fiwxCMRLadcab37633bddc0901b60012d306f8d9'],['O']
116,['мегацукс'],['O']
117,['SYSTEM'],['O']
118,"['Мастер', 'по', 'обслуживанию', 'магистральных', 'трубопроводов']","['O', 'O', 'O', 'O', 'O']"
119,"['Зачем', 'внедрять', 'HelpDesk', 'в', 'компании']","['O', 'O', 'O', 'O', 'O']"
120,"['Реконструкция', 'и', 'реставрация', 'архитектурного', 'наследия']","['O', 'O', 'O', 'O', 'O']"
121,"['2022-09-09', '12:38:00']","['O', 'O']"
122,"['root', '', '', '', '', '1706592', '', '', '', '', '', '', '2', '', '0', '12:49', '?', '', '', '', '', '', '', '', '00:00:00', '[kworker/5:1-cgroup_pidlist_destroy]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
123,['BN301ManufacturingInc/gnations#12'],['O']
124,['CMakeFiles/CPSim-0.1.out.dir/Engine/CAN_message.cpp.o'],['O']
125,"['25.05.21', 'вам', 'выдана', 'электронная', 'подпись', 'на', 'реквизиты\n', 'Козлов', 'Игорь', 'Владимирович', 'ИНН', '123456789012']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-LAST_NAME', 'U-FIRST_NAME', 'U-MIDDLE_NAME', 'O', 'O']"
126,"['Реставратор', 'тканей,', 'гобеленов', 'и', 'ковров']","['O', 'O', 'O', 'O', 'O']"
127,"['Проектирование,', 'изготовление', 'и', 'ремонт', 'энергетических', 'установок', 'и', 'систем', 'автоматизации', 'кораблей', 'и', 'судов']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
128,"['КАССОВЫЙ', 'ЧЕК', '№:', '777\t', '21.05.22', '14:00\n', 'СМЕНА:\t', '30\n', 'ИНН', '7727855555\n', '123007,', 'Нижний', 'Новгород', 'г,', 'улица', 'Кировоградская,', 'дом', '№', '10']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CITY', 'L-CITY', 'O', 'O', 'U-STREET', 'B-HOUSE', 'I-HOUSE', 'L-HOUSE']"
129,"['Сервис', 'по', 'химической', 'обработке', 'изделий']","['O', 'O', 'O', 'O', 'O']"
130,"['Стандартизация', 'и', 'сертификация']","['O', 'O', 'O']"
131,['$ExtractDDLHost'],['O']
132,['29:a2:8d:14:4a:c1'],['O']
133,"['Прикладная', 'эстетика']","['O', 'O']"
134,"['тариф', '+', 'надбавка', '×', '1,18', '(НДС)', '×', 'норматив', '×', 'количество', 'зарегистрированных', 'в', 'квартире']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
135,"['Тыловое', 'обеспечение']","['O', 'O']"
136,"['(AnnaT)', 'Titova']","['U-FIRST_NAME', 'U-LAST_NAME']"
137,"['Администратор', '-', '40000', '-', 'Сидоров']","['O', 'O', 'O', 'O', 'U-LAST_NAME']"
138,"['select', 'HAVE_SMP']","['O', 'O']"
139,"['admin', '', '1641094', '1634617', '', '0', '10:08', '?', '', '', '', '', '', '', '', '00:00:00', '/usr/libexec/openssh/sftp-server']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
140,"['Расположена', 'на', 'севере', 'географического', 'региона', 'Передняя', 'Азия', 'и', 'северо-востоке', 'Армянского', 'нагорья', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
141,"['Оператор', 'в', 'производстве', 'шин']","['O', 'O', 'O', 'O']"
142,"['Питается', 'главным', 'образом', 'насекомыми', ',', 'но', 'может', 'ловить', 'и', 'есть', 'мелких', 'позвоночных', 'и', 'дождевых', 'червей', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
143,"['тариф', '×', '1,18', '(НДС)', '×норматив', '×', 'количество', 'зарегистрированных', 'в', 'квартире']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
144,"['Группа', 'компаний', '«Протек»']","['O', 'O', 'O']"
145,"['root', '', '', '', '', '1695263', '', '', '', '', '', '', '2', '', '0', '12:30', '?', '', '', '', '', '', '', '', '00:00:00', '[kworker/12:0-events]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
146,['История'],['O']
147,"['Информационный', 'менеджмент']","['O', 'O']"
148,"['ДОГОВОР', 'О', 'ВЗАИМНОЙ', 'ОБОРОНЕ', 'МЕЖДУ', 'ИСЛАМСКОЙ', 'РЕСПУБЛИКОЙ', 'ИРАН', 'И', 'СИРИЙСКОЙ', 'АРАБСКОЙ', 'РЕСПУБЛИКОЙ', '(', 'ПОДПИСАН', 'В', '2006', 'ГОДУ', ')', '[10]', ':', 'ИРАН', ',', 'СИРИЯ', '.']","['O', 'O', 'O', 'O', 'O', 'B-COUNTRY', 'I-COUNTRY', 'L-COUNTRY', 'O', 'B-COUNTRY', 'I-COUNTRY', 'L-COUNTRY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-COUNTRY', 'O', 'U-COUNTRY', 'O']"
149,"['Лутченко', ',', 'Владимир', 'Яковлевич']","['U-LAST_NAME', 'O', 'U-FIRST_NAME', 'U-MIDDLE_NAME']"
150,"['3,510', '+', '5,472', 'м3/чел.']","['O', 'O', 'O', 'O']"
151,"['Широко', 'распространена', 'в', 'Европе', 'и', 'Северной', 'Америке', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'U-COUNTRY', 'O']"
152,"['windows:', 'windows']","['O', 'O']"
153,"['На', 'протяжении', 'всего', 'полуострова', 'с', 'севера', 'на', 'юг', 'проходит', 'горный', 'хребет', 'Кенай', 'покрытый', 'ледниками', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-CITY', 'O', 'O', 'O']"
154,"['сколько', '1', 'человек', 'потребляет', 'в', 'месяц,', 'если', 'у', 'него', 'не', 'установлены', 'приборы', 'учета', '(зависит', 'от', 'вида', 'плиты)']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
155,"['елка:', 'ELK']","['O', 'O']"
156,"['По', 'итогам', 'оценки', 'число', 'научных', 'учреждений', 'может', 'сократиться', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
157,"['Модистка', 'головных', 'уборов']","['O', 'O', 'O']"
158,"['Он', 'несколько', 'лет', 'руководил', 'Чувашией', ',', 'однако', 'широкой', 'публике', 'стал', 'известен', 'как', 'автор', 'программы', 'Общероссийского', 'народного', 'фронта', 'Владимира', 'Путина', '.']","['O', 'O', 'O', 'O', 'U-REGION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-FIRST_NAME', 'U-LAST_NAME', 'O']"
159,"['География', 'и', 'картография']","['O', 'O', 'O']"
160,"['Технология', 'молока', 'и', 'молочных', 'продуктов']","['O', 'O', 'O', 'O', 'O']"
161,"['Библиотечное', 'дело']","['O', 'O']"
162,"['Дальневосточная', 'транспортная', 'группа']","['O', 'O', 'O']"
163,"['дельту:', 'Delta']","['O', 'O']"
164,['ппрб'],['O']
165,"['Электрооборудование', 'летательных', 'аппаратов']","['O', 'O', 'O']"
166,"['сигме:', 'Sigma']","['O', 'O']"
167,"['В', 'списке', 'редких', 'видов', 'МСОП', 'вид', 'ранее', 'числился', 'в', 'категории', 'угрожаемых', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
168,"['недвижимость,', 'торговля', 'предметами', 'роскоши']","['O', 'O', 'O', 'O']"
169,"['zabbix', '', '', '3680826', '3680820', '', '0', 'Mar23', '?', '', '', '', '', '', '', '', '00:00:03', '/usr/sbin/zabbix_agentd:', 'listener', '#3', '[waiting', 'for', 'connection]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
170,"['Искусство', 'балета']","['O', 'O']"
171,['https://picsum.photos/984/30'],['O']
172,"['54', ',', '154', 'новосибирская', 'область', '55', 'омская', 'область', '56', 'оренбургская', 'область', '57', 'орловская', 'область', '58', 'пензенская', 'область', '69', 'тверская', 'область', '72', 'тюменская', 'область', '75', ',', '80', 'забайкальский', 'край']","['O', 'O', 'O', 'U-REGION', 'O', 'O', 'U-REGION', 'O', 'O', 'U-REGION', 'O', 'O', 'U-REGION', 'O', 'O', 'U-REGION', 'O', 'O', 'U-REGION', 'O', 'O', 'U-REGION', 'O', 'O', 'O', 'O', 'U-REGION', 'O']"
173,['79526786605'],['O']
174,"['Blood', 'pressure', 'is', 'recorded', 'in', 'millimeters', 'of', 'mercury.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
175,"['marvel:', 'Marvel']","['O', 'O']"
176,['79806757244'],['O']
177,"['Сертификат:', '1a2b3c4d5e6f7g8h9i0j1k2l3m4n5o6p7q8r9s0t1u2v3w4x5y6z7\n', 'Владелец:', 'Ковалев', 'Никита', 'Алексеевич\n', 'ИФНС', 'России', 'по', 'г.', 'Саратову', 'Саратовской', 'области\n', 'Действителен:', 'с', '07.12.2022', 'по', '07.12.2024']","['O', 'O', 'O', 'U-LAST_NAME', 'U-FIRST_NAME', 'U-MIDDLE_NAME', 'O', 'U-COUNTRY', 'O', 'O', 'U-CITY', 'U-REGION', 'O', 'O', 'O', 'O', 'O', 'O']"
178,"['Гиоргадзе', 'перебрался', 'в', 'Москву', ',', 'где', 'и', 'проживал', 'с', 'тех', 'пор', '.']","['U-LAST_NAME', 'O', 'O', 'U-CITY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
179,"['', '', '\t', '', '', '', '</output>']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
180,"['microsoft:', 'Microsoft']","['O', 'O']"
181,"['Медицинская', 'кибернетика']","['O', 'O']"
182,"['Позже', '-', 'Р.', 'Нуреев', ',', 'М.', 'Барышников', '.']","['O', 'O', 'O', 'U-LAST_NAME', 'O', 'O', 'U-LAST_NAME', 'O']"
183,"['Физические', 'процессы', 'горного', 'и', 'нефтегазового', 'производства']","['O', 'O', 'O', 'O', 'O', 'O']"
184,"['Иванов', 'Иван', 'Иванович', ',', 'мужской', ',', 'г', '.', 'Москва', ',', 'врач']","['U-LAST_NAME', 'U-FIRST_NAME', 'U-MIDDLE_NAME', 'O', 'O', 'O', 'O', 'O', 'U-CITY', 'O', 'O']"
185,"['root', '', '', '', '', '1696593', '', '', '', '', '', '', '2', '', '0', '12:33', '?', '', '', '', '', '', '', '', '00:00:00', '[kworker/4:1-events]']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
186,['MEA'],['O']
187,"['Р:', 'R']","['O', 'O']"
188,['30:1e:46:2a:a0:71'],['O']
